ENT,CVE_MUN,MUN,POB_TOT,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,IM,GM,LUG_NAC,LUGAR_EST,AÑO
Oaxaca,20160,San JerÛnimo Silacayoapilla,2075,27.63,65.94,70.9,8.87,35.53,70.12,27.29,100,87.38,0.369,Alto,878,363,1990
Oaxaca,20189,San Juan Comaltepec,2065,34.88,85.77,53.05,48.02,78.46,90.59,96.95,100,27.05,1,Alto,426,206,1990
Oaxaca,20405,Villa de Chilapa de DÌaz,2039,24.39,57.8,33.02,6.67,9.62,55.8,37.03,100,87.33,-0.227,Medio,1400,474,1990
Oaxaca,20343,San Sebasti·n Abasolo,2030,12.2,37.24,24.58,2.76,23.2,78.98,74.38,100,88.17,-0.064,Medio,1249,448,1990
Oaxaca,20388,Santa InÈs del Monte,2018,42.28,75.11,93.33,53.74,92.27,89.67,90.59,100,91.82,1.933,Muy alto,53,23,1990
Oaxaca,20094,San AndrÈs NuxiÒo,2008,15.34,53.45,71.66,56.82,95.09,80.58,58.84,100,93.35,1.064,Alto,378,185,1990
Oaxaca,20097,San AndrÈs Solaga,1988,25.63,61.64,64.19,5.33,7.7,49.42,84.53,100,88.69,0.206,Alto,1028,397,1990
Oaxaca,20458,Santiago Comaltepec,1972,21.94,46.32,35.47,13.72,18.28,73.55,70.24,100,90.54,0.166,Alto,1063,405,1990
Oaxaca,20089,San AndrÈs Dinicuiti,1969,27.31,68.66,75.24,3.13,22.64,71.29,48.46,100,84.59,0.428,Alto,818,342,1990
Oaxaca,20531,Santo Tom·s Mazaltepec,1954,13.99,51.27,79.89,4.5,11.77,74,59.01,100,88.74,0.231,Alto,1000,390,1990
Oaxaca,20362,Santa Catarina Cuixtla,1948,23.25,69.91,26.18,10.06,15.3,61.37,43.02,100,89.08,0.005,Medio,1184,438,1990
Oaxaca,20561,Yaxe,1946,27.06,64.42,95.43,9.35,66.39,85.46,81.6,100,93.84,1.215,Muy alto,311,153,1990
Oaxaca,20271,San Miguel Mixtepec,1920,59.42,83.93,46.49,76.33,11.67,80.98,89.06,100,91.25,1.52,Muy alto,176,83,1990
Oaxaca,20270,San Miguel Huautla,1893,37.64,59.18,85.42,82.46,87.49,77.15,94.21,100,82.8,1.601,Muy alto,153,71,1990
Oaxaca,20201,San Juan Juquila Vijanos,1886,30.35,73.11,72.27,9.7,10.53,64.99,95.31,100,93.54,0.75,Alto,575,261,1990
Oaxaca,20182,San Juan Bautista Tlacoatzintepec,1882,51.55,77.17,18.59,39.11,24.28,81.5,99.04,100,85.79,1.067,Alto,376,183,1990
Oaxaca,20139,San Francisco Chapulapa,1873,49.19,87.29,57.67,70.8,67.23,84.42,92.37,100,91.21,1.824,Muy alto,76,33,1990
Oaxaca,20429,Santa MarÌa Sola,1863,32.43,71.01,80.16,38.75,58.18,76.92,89.27,100,93.07,1.307,Muy alto,267,134,1990
